,Quarter,Revenue in million U.S. dollars
0,Q3 2020,300.95
1,Q2 2020,293.19
2,Q1 2020,285.43
3,Q4 2019,275.28
4,Q3 2019,267.3
5,Q2 2019,270.46
6,Q1 2019,270.81
7,Q4 2018,263.55
8,Q3 2018,257.8
9,Q2 2018,260.63
10,Q1 2018,260.59
11,Q4 2017,269.38
12,Q3 2017,246.64
13,Q2 2017,250.04
14,Q1 2017,242.38
15,Q4 2016,225.97
16,Q3 2016,217.1
17,Q2 2016,219.48
18,Q1 2016,217.99
19,Q4 2015,215.16
20,Q3 2015,210.71
21,Q2 2015,213.13
22,Q1 2015,212.79
23,Q4 2014,210.56
24,Q3 2014,206.73
25,Q2 2014,209.82
26,Q1 2014,209.72
27,Q4 2013,207.67
28,Q3 2013,204.16
29,Q2 2013,206.97
30,Q1 2013,205.48
31,Q4 2012,216.12
32,Q3 2012,194.74
33,Q2 2012,194.21
34,Q1 2012,189.97
