,Football Clubs,Soccer Power Index
0,Manchester City,94.9
1,Liverpool,94.0
2,Bayern Munich,93.1
3,Real Madrid,90.3
4,Barcelona,90.0
5,Paris Saint-Germain,88.7
6,RB Leipzig,88.0
7,Borussia Dortmund,86.0
8,Chelsea,85.6
9,Atletico Madrid,84.8
10,Juventus,83.6
11,Manchester United,82.6
12,Atalanta,81.7
13,Sevilla FC,81.4
14,Wolverhampton Wanderers,81.3
15,Leicester City,81.0
16,Bayer Leverkusen,80.9
17,Getafe,80.4
18,Internazionale,80.2
19,Tottenham Hotspur,79.1
20,Everton,78.9
21,Ajax,77.8
22,Arsenal,77.1
23,Real Sociedad,77.1
24,Lazio,77.0
25,Zenit St. Petersburg,76.7
26,RB Salzburg,76.6
27,AS Roma,75.9
28,FC Porto,75.6
29,Napoli,75.6
30,Borussia Mönchengladbach,75.3
31,Olympiacos,74.1
32,Benfica,74.0
33,Villarreal,73.8
34,Sheffield United,73.7
35,Lyon,73.2
36,AC Milan,72.8
37,VfL Wolfsburg,72.6
38,Eintracht Frankfurt,72.2
39,Real Betis,72.0
40,Southampton,72.0
41,Flamengo,71.7
42,Club Brugge,70.8
43,Celtic,70.7
44,Brighton & Hove Albion,70.7
45,Athletic Bilbao,70.6
46,Shakhtar Donetsk,70.2
47,Burnley,70.2
48,Watford,70.1
49,1. FC Köln,70.1
