,Nation,Average player value in million euros
0,Spain,27.04
1,Germany,24.43
2,Brazil,20.33
3,France,17.9
4,Argentina,17.02
5,Belgium,15.13
6,England,14.52
7,Italy,14.04
8,Portugal,12.92
9,Uruguay,9.46
10,The Netherlands,9.02
11,Croatia,8.4
12,Colombia,8.27
13,Russia,7.99
14,Switzerland,7.74
15,Chile,6.06
16,Ivory Coast,5.29
17,Cameroon,5.15
18,Bosnia and Herzegovina,5.0
19,Japan,4.26
20,Mexico,4.2
21,Ghana,4.19
22,Nigeria,3.78
23,Greece,3.47
24,Ecuador,2.73
25,United States,2.51
26,Algeria,2.49
27,South Korea,2.26
28,Costa Rica,1.29
29,Iran,1.05
30,Australia,0.93
31,Honduras,0.92
