,Industry Area,Share of gross domestic product
0,Manufacturing,19.86%
1,"Wholesale and retail trade, repair of motor vehicles and motorcycles",13.02%
2,"Agriculture, forestry and fishing",12.81%
3,Construction,10.53%
4,Mining and quarrying,8.08%
5,Transportation and storage,5.37%
6,Financial and insurance activities,4.15%
7,Information and communication,3.77%
8,"Public administration and defence, compulsory social security",3.65%
9,Education,3.25%
10,Accommodation and food service activities,2.78%
11,Real estate activities,2.74%
12,Other services activities,1.81%
13,Business activities,1.8%
14,Electricity and gas,1.19%
15,Human health and social work activities,1.06%
16,"Water, sewage and waste management",0.07%
