,Year,Gross domestic product in billion international dollars
0,2021*,128.16
1,2020*,123.85
2,2019*,130.93
3,2018,126.16
4,2017,129.51
5,2016,130.59
6,2015,130.9
7,2014,130.93
8,2013,130.1
9,2012,128.25
10,2011,125.8
11,2010,123.67
12,2009,122.75
13,2008,124.25
14,2007,124.17
15,2006,122.34
16,2005,120.44
17,2004,119.17
18,2003,113.79
19,2002,109.16
20,2001,105.18
21,2000,94.02
22,1999,89.05
23,1998,84.07
24,1997,78.05
25,1996,73.15
26,1995,70.21
27,1994,65.78
28,1993,61.82
29,1992,57.71
30,1991,53.96
31,1990,51.02
32,1989,47.39
33,1988,43.45
34,1987,39.41
35,1986,36.65
36,1985,33.22
37,1984,31.55
