,Response,Share of respondents
0,Fresh/house-made sausage,67%
1,House-cured meats/charcuterie,59%
2,Vegetarian appetizers,59%
3,"Ethnic/street food-inspired appetizers (e.g. tempura, taquitos, kabobs)",53%
4,Seafood charcuterie,52%
5,Amuse-bouche/bite-size hors d'oeuvre,51%
6,"Ethnic dips (e.g. hummus, tabbouleh, baba ganoush, tzatziki)",41%
7,Poke/ceviche,33%
8,Bone marrow,32%
9,"Jerky (e.g. beef, fish, turkey, boar, bison)",32%
10,Flatbread appetizers,30%
11,Oysters,25%
12,Sliders/mini-burgers,24%
