,County,Resident population in million
0,"Los Angeles County, California",10.11
1,"Cook County, Illinois",5.18
2,"Harris County, Texas",4.7
3,"Maricopa County, Arizona",4.41
4,"San Diego County, California",3.34
5,"Orange County, California",3.19
6,"Miami-Dade County, Florida",2.76
7,"Dallas County, Texas",2.64
8,"Kings County, New York",2.58
9,"Riverside County, California",2.45
10,"Queens County, New York",2.28
11,"King County, Washington",2.23
12,"Clark County, Nevada",2.23
13,"San Bernardino County, California",2.17
14,"Tarrant County, Texas",2.08
15,"Bexar County, Texas",1.99
16,"Broward County, Florida",1.95
17,"Santa Clara County, California",1.94
18,"Wayne County, Michigan",1.75
19,"Alameda County, California",1.67
20,"New York County, New York",1.63
21,"Middlesex County, Massachusetts",1.61
22,"Philadelphia County, Pennsylvania",1.58
23,"Sacramento County, California",1.54
24,"Palm Beach County, Florida",1.49
