,Response,Share of respondents
0,Idiot/Jerk/Stupid/Dumb,9.8%
1,Arrogant,6%
2,Crazy/Nuts,5.6%
3,Buffoon/Clown/Comical/Joke,4.7%
4,Unfavorable/Disklike him,4.3%
5,Egotistical/Narcissist/Selfish,4.1%
6,Bombastic/Showoff/Pompous,3.8%
7,Outspoken/Frank/Opinionated,3.1%
8,Entertaining/Entertainer,2.9%
9,Businessman/Successful,2.7%
10,Honest/Trustworthy/Truthful,2.7%
11,Cunning/Untrustworthy/Dishonest,2.7%
12,Blow hard/Boisterous,2.6%
13,Favorable/Like him,2.6%
14,Exhilarating/Exciting/Ballsy,1.8%
15,Aggressive,1.7%
16,Blunt/Brash,1.5%
