,Month,Number of excess deaths
0,Dec 25,3566
1,Dec 18,1463
2,Dec 11,1542
3,Dec 4,1608
4,Nov 27,2099
5,Nov 20,2155
6,Nov 13,2579
7,Nov 6,1481
8,Oct 30,996
9,Oct 23,980
10,Oct 16,669
11,Oct 9,143
12,Oct 2,390
13,Sep 25,257
14,Sep 18,259
15,Sep 11,505
16,Sep 4,-1443
17,Aug 28,798
18,Aug 21,474
19,Aug 14,307
20,Aug 7,-107
21,Jul 31,-90
22,Jul 24,-161
23,Jul 17,-270
24,Jul 10,-560
25,Jul 3,-43
26,June 26,-314
27,June 19,-65
28,June 12,559
29,June 5,732
30,May 29,1653
31,May 22,2348
32,May 15,4385
33,May 8,3081
34,May 1,8012
35,Apr 24,11539
36,Apr 17,11854
37,Apr 10,7996
38,Apr 3,6082
39,Mar 27,1011
40,Mar 20,72
41,Mar 13,-186
42,Mar 6,-603
43,Feb 28,-367
44,Feb 21,-707
45,Feb 14,-683
46,Feb 7,-939
47,Jan 31,-594
48,Jan 24,-904
49,Jan 17,-226
50,Jan 10,236
51,Jan 3,79
