,Year,Inflation rate compared to previous year
0,2025*,1.97%
1,2024*,1.97%
2,2023*,1.97%
3,2022*,1.62%
4,2021*,1.13%
5,2020*,0.69%
6,2019,-0.18%
7,2018,-1.04%
8,2017,0.7%
9,2016,-0.69%
10,2015,-2.3%
11,2014,0.25%
12,2013,1.11%
13,2012,0.82%
14,2011,5.84%
15,2010,0.85%
16,2009,2.06%
17,2008,5.3%
18,2007,4.48%
19,2006,8.49%
20,2005,3.37%
21,2004,2.25%
22,2003,2.27%
23,2002,2.08%
24,2001,2.14%
25,2000,2.11%
26,1999,3.35%
27,1998,3.68%
28,1997,8.68%
29,1996,2.05%
30,1995,3%
31,1994,1.43%
32,1993,1.79%
33,1992,2.84%
34,1991,4.2%
35,1990,4.2%
36,1989,5.13%
37,1988,0.23%
38,1987,0.94%
39,1986,-0.03%
40,1985,2.67%
