,Year,Inflation rate
0,2025*,1.99%
1,2024*,1.96%
2,2023*,1.86%
3,2022*,1.62%
4,2021*,1.27%
5,2020*,0.62%
6,2019,1.95%
7,2018,2.27%
8,2017,1.6%
9,2016,1.43%
10,2015,1.13%
11,2014,1.91%
12,2013,0.94%
13,2012,1.52%
14,2011,2.91%
15,2010,1.78%
16,2009,0.3%
17,2008,2.37%
18,2007,2.14%
19,2006,2.02%
20,2005,2.21%
21,2004,1.86%
22,2003,2.76%
23,2002,2.26%
24,2001,2.53%
25,2000,2.72%
26,1999,1.74%
27,1998,1%
28,1997,1.62%
29,1996,1.57%
30,1995,2.15%
31,1994,0.17%
32,1993,1.87%
33,1992,1.49%
34,1991,5.63%
35,1990,4.78%
36,1989,4.98%
37,1988,4.03%
38,1987,4.37%
39,1986,4.17%
40,1985,3.95%
