,Year,Import volume in billion U.S. dollars
0,2019,61.77
1,2018,57.45
2,2017,48.86
3,2016,45.53
4,2015,39.35
5,2014,33.99
6,2013,31.5
7,2012,33.37
8,2011,39.37
9,2010,33.85
10,2009,28.1
11,2008,31.35
12,2007,30.45
13,2006,28.53
14,2005,28.73
15,2004,27.45
16,2003,25.75
17,2002,22.44
18,2001,18.5
19,2000,16.46
20,1999,10.99
21,1998,8.4
22,1997,5.87
23,1996,4.8
24,1995,4.08
25,1994,2.89
26,1993,2.52
27,1992,2.26
28,1991,1.95
29,1990,1.76
30,1989,1.57
31,1988,1.38
32,1987,1.11
33,1986,1.0
34,1985,0.9
