,Cultural institution,Endowment (in million U.S. dollars)
0,"Metropolitan Museum of Art, New York",2696.75
1,"Museum of Fine Arts, Houston",1011.09
2,"Smithsonian Institution, Washington D.C.",971.2
3,Art Institute of Chicago,837.8
4,"Colonial Williamsburg Foundation, Williamsburg",709.07
5,"Huntington Library, Art Collections and Botanical Gardens, San Marino",414.73
6,Boston Symphony Orchestra,387.37
7,Philadelphia Museum of Art,363.01
8,Indianapolis Museum of Art,350.7
9,"Nelson-Atkins Museum of Art, Kansas City",292.97
