,Month,Payroll in thousand U.S. dollars
0,Marco Fabian,2274.09
1,Alejandro Bedoya,1266.25
2,Sergio Santos,668.5
3,Haris Medunjanin,595.01
4,Jamiro Monteiro,569.2
5,Andre Blake,550.0
6,Kai Wagner,360.15
7,Ilsinho,357.0
8,Kacper Przybylko,277.0
9,Jack Elliott,265.0
10,Raymon Gaddis,190.0
11,Warren Creavalle,175.3
12,Aurelien Collin,175.0
13,Fafa Picault,173.67
14,Carlos Miguel Coronel,148.43
15,Auston Trusty,124.1
16,Fabinho Alves,120.0
17,Brenden Aaronson,95.81
18,Mark McKenzie,82.23
19,Derrick Jones,80.9
20,Cory Burke,79.72
21,Matt Freese,77.65
22,Olivier Mbaizo,70.88
23,Anthony Fontana,70.26
24,Matthew Real,57.23
25,Michee Ngalina,56.25
