,Year,Wage in constant 2019 U.S. dollars
0,2019,735
1,2018,707
2,2017,711
3,2016,722
4,2015,691
5,2014,691
6,2013,691
7,2012,693
8,2011,700
9,2010,718
10,2009,718
11,2008,701
12,2007,703
13,2006,704
14,2005,682
15,2004,712
16,2003,716
17,2002,709
18,2001,711
19,2000,705
20,1999,685
21,1998,670
22,1997,637
23,1996,630
24,1995,640
25,1994,635
26,1993,645
27,1992,640
28,1991,639
29,1990,625
30,1989,637
31,1988,654
32,1987,650
33,1986,650
34,1985,630
35,1984,633
36,1983,640
37,1982,625
38,1981,637
39,1980,627
40,1979,655
