,Year,Million vehicles
0,2012,15.8
1,2011,13.48
2,2010,12.16
3,2009,8.76
4,2008,12.92
5,2007,15.43
6,2006,15.88
7,2005,16.32
8,2004,16.22
9,2003,16.22
10,2002,16.72
11,2001,15.82
12,2000,17.66
13,1999,17.62
14,1998,16.03
15,1997,16.06
16,1996,15.45
17,1995,15.34
18,1994,15.68
19,1993,14.19
20,1992,12.74
21,1991,11.66
22,1990,12.53
23,1989,13.46
24,1988,13.71
25,1987,12.94
26,1986,13.51
27,1985,14.03
28,1984,13.12
29,1983,11.05
30,1982,8.69
31,1981,9.82
32,1980,9.87
33,1979,13.55
34,1978,15.1
35,1977,14.75
36,1976,13.46
37,1975,10.77
38,1974,11.89
39,1973,14.54
40,1972,13.0
41,1971,12.23
42,1970,9.64
43,1969,11.7
44,1968,12.11
45,1967,10.06
46,1966,11.38
47,1965,12.08
48,1964,10.0
49,1963,9.8
50,1962,8.76
51,1961,7.09
52,1960,8.34
53,1959,7.15
54,1958,5.51
55,1957,7.66
56,1956,7.42
57,1955,9.67
58,1954,6.92
59,1953,7.86
60,1952,6.04
61,1951,7.21
