,name of global event,Tweets per second
0,"Castle in the Sky on TV (Dec 9, '11)",25088
1,"Euro 2012 Finale, Spain's 4th goal against Italy (Jul 1, '12)",15358
2,"Madonna's Super Bowl Halftime Performance (Feb 5, '12)",10245
3,"Last minutes of Superbowl XLVI (Feb 5, '12)",10245
4,"Tim Tebow's Overtime Touchdown Pass (Jan 6, '12)",9420
5,"Beyonce at the VMAs (Aug 28, '11)",8868
6,"Execution of Troy Davis (Sep 20, '11)",7671
7,"End of FIFA Women's World Cup (Jul 17, '11)",7196
8,"Brazil eliminated from the Copa America (Jul 17, '11)",7166
9,"Steve Jobs resigns (Aug 25, '11)",7064
10,"New Year's Day in Japan (Jan 1, '11)",6939
11,"BET Awards (Jun 27, '11)",6436
12,"UEFA Champions League (May 28, '11)",6303
13,"Steve Jobs passes away (Oct 6, '11)",6049
14,"NBA Finals Lebron Tweet (Jun 13, '11)",5531
15,"Japanese earthquake and tsunami (Mar 11, '11)",5530
