,film,Number of YouTube views in millions
0,Fifty Shades Of Grey - Official Trailer (Universal Pictures) HD,67
1,"Marvel's ""Avengers: Age of Ultron"" - Teaser Trailer (OFFICIAL)",64
2,Star Wars: Episode VII - The Force Awakens Official Teaser Trailer #1 (2015) - J.J. Abrams Movie HD,52
3,Jurassic World - Official Trailer (HD),44
4,TEENAGE MUTANT NINJA TURTLES - Official Trailer (2014) [HD],43
5,Furious 7 - Official Trailer (HD),37
6,Godzilla - Official Main Trailer [HD],36
7,"Lucy TRAILER 1 (2014) - Luc Besson, Scarlett Johansson Movie HD",36
8,The Fault In Our Stars | Official Trailer [HD] | 20th Century FOX,29
9,Official Call of Duty: Advanced Warfare Reveal Trailer,26
