,Country,Import volume in thousand metric tons
0,Netherlands,7497
1,Russian Federation,5863
2,Saudi Arabia,3508
3,Belgium,2219
4,United States,1869
5,India,1643
6,Norway,1342
7,Kuwait,1200
8,UAE,717
9,Finland,699
10,Sweden,686
11,Latvia,633
12,Qatar,567
13,France,498
14,Germany,456
15,Bahrain,423
16,Ireland,401
17,Denmark,394
18,Spain,367
19,Singapore,340
20,Poland,245
21,Italy,198
22,China,193
23,Canada,173
24,Korea,162
25,Malaysia,120
26,Oman,78
27,Portugal,69
28,Egypt,64
29,Lithuania,59
30,Greece,45
31,Algeria,36
32,Israel,10
33,Japan,6
34,Other Africa,27
35,Other Europe,8
