,Year,GDP per capita in U.S. dollars
0,2025*,51768.64
1,2024*,50206.14
2,2023*,48579.22
3,2022*,46833.62
4,2021*,44769.8
5,2020*,39257.43
6,2019,41896.58
7,2018,43083.48
8,2017,40134.13
9,2016,38348.51
10,2015,37937.86
11,2014,44616.46
12,2013,44145.23
13,2012,42371.12
14,2011,45410.1
15,2010,42181.58
16,2009,43176.39
17,2008,47191.13
18,2007,43059.91
19,2006,37793.81
20,2005,36082.12
21,2004,35004.53
22,2003,30675.37
23,2002,25113.25
24,2001,23240.84
25,2000,23207.84
26,1999,25549.7
27,1998,25818.37
28,1997,25028.47
29,1996,27720.86
30,1995,27741.29
31,1994,24262.18
32,1993,23082.72
33,1992,24590.75
34,1991,22406.39
35,1990,22490.29
36,1989,18236.77
37,1988,18241.0
38,1987,16793.96
39,1986,13947.32
40,1985,10108.56
