,State,Voter turnout rate
0,United States,66.7%
1,Minnesota,80%
2,Colorado,76.4%
3,Maine,76.3%
4,Wisconsin,75.8%
5,Washington,75.7%
6,Oregon,75.5%
7,New Hampshire,75.5%
8,New Jersey,75.3%
9,Vermont,74.2%
10,Michigan,73.9%
11,Iowa,73.2%
12,Montana,73.1%
13,Virginia,73%
14,Massachusetts,72.1%
15,Florida,71.7%
16,Connecticut,71.5%
17,North Carolina,71.5%
18,Pennsylvania,71%
19,Delaware,70.7%
20,Maryland,70.7%
21,Nebraska,69.9%
22,Utah,69.2%
23,Alaska,68.8%
24,California,68.5%
25,Georgia,67.7%
26,Idaho,67.7%
27,Ohio,67.4%
28,Illinois,67%
29,Missouri,66.3%
30,South Dakota,66%
31,Arizona,65.9%
32,Kansas,65.9%
33,Rhode Island,65.7%
34,Nevada,65.4%
35,Kentucky,64.9%
36,Louisiana,64.6%
37,Wyoming,64.6%
38,South Carolina,64.5%
39,North Dakota,64.5%
40,District of Columbia,64.1%
41,New York,63.4%
42,Alabama,63.1%
43,Indiana,61.4%
44,New Mexico,61.3%
45,Texas,60.4%
46,Mississippi,60.2%
47,Tennessee,59.8%
48,West Virginia,57.6%
49,Hawaii,57.5%
50,Arkansas,56.1%
51,Oklahoma,55%
