,Campaigns,"Raised funding in 1,000 U.S. dollars"
0,Kingdom Death: Monster 1.5 (2017),12393.14
1,Exploding Kittens (2015),8782.57
2,OUYA: A New Kind of Video Game Console (2012),8596.47
3,"THE 7th CONTINENT – What Goes Up, Must Come Down (2017)",7072.76
4,Shenmue 3 (2015),6333.3
5,Tainted Grail: The Fall of Avalon (2019)*,6228.64
6,Bloodstained: Ritual of the Night (2015),5545.99
7,*Dark Souls - The Board Game (2016),4755.27
8,Zombicide: Green Horde (2017),5004.61
9,Batman™: Gotham City Chronicles (2018),4403.2
