,cultural sites in Paris,"Number of visitors in 1,000s"
0,Notre-Dame de Paris*,12000
1,Basilique du Sacré-Coeur de Montmartre*,10000
2,Louvre Museum,8022
3,Eiffel Tower,6207
4,Centre Pompidou,3337
5,Orsay Museum,3178
6,Science and Industry Museum,2439
7,Chapelle Notre-Dame de la médaille miraculeuse*,2000
8,National Museum of Natural History - Jardin des Plantes,1763
9,Arc de Triomphe,1583
10,Grand Palais,1412
11,Louis Vuitton Foundation,1402
12,The Army Museum,1177
13,Quai Branly Museum - Jacques Chirac,1174
14,Petit Palais,1171
15,Sainte-Chapelle,1051
16,Musée de l'Orangerie,938
17,Musée des Arts Décoratifs,870
18,Montparnasse56,831
19,Pantheon,720
20,Opéra de Paris - Palais Garnier,667
21,Paris Zoological Park,660
22,Palais de Tokyo,635
23,Grévin Museum**,626
24,Picasso Museum,612
25,Paris Catacombs,538
26,City of Paris Museum of Modern Art,506
27,Tours of Notre-Dame,432
28,Palais de la Porte Dorée**,420
29,Palais de la Découverte**,418
30,Conciergerie,387
31,Cinémathèque,380
32,Jacquemart-André Museum,320
33,Luxembourg Museum,298
34,Cluny Museum,245
35,Crypt of Notre-Dame,171
36,House of Victor Hugo,166
37,Jeu de Paume,155
38,Galliera Museum,140
39,Cité de l'architecture et du patrimoine**,132
40,St. Denis Basilic,126
41,Musée de l'Homme,122
42,Château of Vincennes,119
43,Museum of Hunting and Nature,119
44,Musée Bourdelle,117
45,Musée d’Art et d’Histoire du Judaïsme,99
46,Musée de la Vie romantique,97
47,Cognacq-Jay Museum,78
48,Delacroix Museum,76
49,"Yves Saint-Laurent Museum (inaugurated on October 3, 2017)",74
50,Cernuschi Museum,53
51,Nissim Museum of Camondo,50
52,Zadkine Museum,31
53,Musée de la marine**,28
54,Maison de Balzac,27
55,Chapelle expiatoire,24
56,Le Corbusier Foundation,16
57,M. du G. Leclerc de H. - Jean Moulin Museum,14
58,Musée d'Histoire de la Médecine - U. Paris Descartes,9
59,Carnavalet Museum**,8
60,Polish Library in Paris,4
61,Maison d'Auguste Comte,3
