,Year,Life expectancy in years
0,2020,81.15
1,2015,80.87
2,2010,79.69
3,2005,78.41
4,2000,77.17
5,1995,76.24
6,1990,75.14
7,1985,74.19
8,1980,73.01
9,1975,72.21
10,1970,71.71
11,1965,71.04
12,1960,70.61
13,1955,69.41
14,1950,67.66
15,1945,64.01
16,1940,62.34
17,1935,60.97
18,1930,59.46
19,1925,58.31
20,1920,48.89
21,1915,52.02
22,1910,52.07
23,1905,49.48
24,1900,46.81
25,1895,45.75
26,1890,45.78
27,1885,45.32
28,1880,43.89
29,1875,42.39
30,1870,41.53
31,1865,41.18
32,1860,41.8
33,1855,40.66
34,1850,39.59
35,1845,41.8
36,1840,40.55
37,1835,40.85
38,1830,41.52
39,1825,40.46
40,1820,40.53
41,1815,41.23
42,1810,40.74
43,1805,39.41
44,1800,39.37
45,1795,37.65
46,1790,38.7
47,1785,36.69
48,1780,38.18
49,1775,38.8
50,1770,35.33
51,1765,38.88
