,Year,Gross domestic product in billion international dollars
0,2021*,358.19
1,2020*,334.68
2,2019,354.88
3,2018,336.99
4,2017,318.03
5,2016,301.38
6,2015,286.87
7,2014,277.5
8,2013,262.54
9,2012,247.45
10,2011,237.17
11,2010,221.51
12,2009,207.39
13,2008,203.73
14,2007,193.4
15,2006,177.57
16,2005,162.94
17,2004,151.73
18,2003,140.86
19,2002,136.78
20,2001,134.89
21,2000,131.78
22,1999,118.43
23,1998,112.66
24,1997,106.89
25,1996,100.98
26,1995,94.43
27,1994,84.35
28,1993,77.17
29,1992,72.65
30,1991,66.29
31,1990,61.29
32,1989,55.4
33,1988,52.57
34,1987,49.03
35,1986,44.51
36,1985,42.14
37,1984,39.1
