,Month,Number of hours watched in millions
0,November 2020,121.07
1,October 2020,171.77
2,September 2020,134.89
3,August 2020,142.47
4,July 2020,135.22
5,June 2020,143.0
6,May 2020,127.0
7,April 2020,135.0
8,March 2020,123.0
9,February 2020,121.0
10,January 2020,99.7
11,December 2019,78.5
12,November 2019,91.8
13,October 2019,121.0
14,September 2019,77.6
15,August 2019,86.1
16,July 2019,68.2
17,June 2019,89.1
18,May 2019,103.0
19,April 2019,92.4
20,March 2019,108.0
21,February 2019,95.0
22,January 2019,99.1
23,December 2018,72.0
24,November 2018,84.5
25,October 2018,109.0
26,September 2018,76.5
27,August 2018,81.2
28,July 2018,74.9
29,June 2018,72.4
30,May 2018,82.0
31,April 2018,74.1
32,March 2018,88.8
33,February 2018,81.0
34,January 2018,89.0
