,Year,GDP per capita in U.S. dollars
0,2025*,3742.06
1,2024*,3541.17
2,2023*,3402.95
3,2022*,3394.77
4,2021*,3380.08
5,2020*,3295.45
6,2019,3292.59
7,2018,3411.13
8,2017,3451.72
9,2016,3665.68
10,2015,3829.5
11,2014,4274.47
12,2013,4198.85
13,2012,4137.58
14,2011,4256.84
15,2010,4140.49
16,2009,4131.02
17,2008,4308.48
18,2007,3778.38
19,2006,3371.54
20,2005,3194.48
21,2004,3112.91
22,2003,2762.05
23,2002,2345.99
24,2001,2254.91
25,2000,2213.95
26,1999,2388.99
27,1998,2295.19
28,1997,2210.81
29,1996,2299.38
30,1995,2156.45
31,1994,1903.85
32,1993,1814.88
33,1992,1973.45
34,1991,1687.19
35,1990,1636.64
36,1989,1386.02
37,1988,1411.51
38,1987,1382.41
39,1986,1312.23
40,1985,1271.85
