,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,1.9%
3,2021*,1.7%
4,2020*,1.5%
5,2019*,1.2%
6,2018,0.73%
7,2017,0.25%
8,2016,-0.19%
9,2015,-0.04%
10,2014,0.3%
11,2013,0.55%
12,2012,1.88%
13,2011,1.21%
14,2010,-1.64%
15,2009,-1.68%
16,2008,3.13%
17,2007,2.88%
18,2006,2.67%
19,2005,2.2%
20,2004,2.31%
21,2003,4%
22,2002,4.69%
23,2001,4%
24,2000,5.3%
25,1999,2.41%
26,1998,2.13%
27,1997,1.25%
28,1996,2.18%
29,1995,2.52%
30,1994,2.37%
31,1993,1.42%
32,1992,3.15%
33,1991,3.13%
34,1990,3.36%
35,1989,3.99%
36,1988,2.17%
37,1987,3.15%
38,1986,3.04%
39,1985,5.47%
40,1984,8.64%
