,Quarter,Index (Dec. 2005=100)
0,Q4 '19,138.9
1,Q3 '19,138.0
2,Q2 '19,137.0
3,Q1 '19,136.2
4,Q4 '18,135.2
5,Q3 '18,134.3
6,Q2 '18,133.3
7,Q1 '18,132.5
8,Q4 '17,131.4
9,Q3 '17,130.6
10,Q2 '17,129.7
11,Q1 '17,129.0
12,Q4 '16,128.0
13,Q3 '16,127.4
14,Q2 '16,126.7
15,Q1 '16,126.0
16,Q4 '15,125.2
17,Q3 '15,124.5
18,Q2 '15,123.8
19,Q1 '15,123.6
20,Q4 '14,122.8
21,Q3 '14,122.2
22,Q2 '14,121.4
23,Q1 '14,120.5
24,Q4 '13,120.1
25,Q3 '13,119.5
26,Q2 '13,119.0
27,Q1 '13,118.4
28,Q4 '12,117.8
29,Q3 '12,117.3
30,Q2 '12,116.8
31,Q1 '12,116.2
32,Q4 '11,115.7
33,Q3 '11,115.1
34,Q2 '11,114.8
35,Q1 '11,114.0
36,Q4 '10,113.3
37,Q3 '10,112.8
38,Q2 '10,112.3
39,Q1 '10,111.8
