,Month,Retail sales in thousand GBP
0,Dec 19,6413719
1,Nov 19,4103639
2,Oct 19,3684260
3,Sep 19,4570809
4,Aug 19,3755191
5,Jul 19,4000259
6,Jun 19,4735522
7,May 19,3534680
8,Apr 19,3614324
9,Mar 19,4110860
10,Feb 19,2979949
11,Jan 19,3182274
12,Dec 18,6562771
13,Nov 18,4164350
14,Oct 18,3610727
15,Sep 18,4412748
16,Aug 18,3624307
17,Jul 18,3942695
18,Jun 18,4571299
19,May 18,3507200
20,Apr 18,3274802
21,Mar 18,3862707
22,Feb 18,2851154
23,Jan 18,3047687
24,Dec 17,6357075
25,Nov 17,4094224
26,Oct 17,3585331
27,Sep 17,4446848
28,Aug 17,3681833
29,Jul 17,3866902
30,Jun 17,4579545
31,May 17,3462317
32,Apr 17,3385237
33,Mar 17,3983710
34,Feb 17,2904247
35,Jan 17,3052591
36,Dec 16,6275529
37,Nov 16,3991563
38,Oct 16,3650714
39,Sept 16,4170853
40,Aug 16,3547220
41,July 16,3809540
42,June 16,4298271
43,May 16,3333118
44,Apr 16,3126633
45,Mar 16,3750005
46,Feb 16,2778610
47,Jan 16,2996428
