,State,Median income in current U.S. dollars
0,Maryland,95572
1,District of Columbia,93111
2,Hawaii,88006
3,New Jersey,87726
4,Massachusetts,87707
5,Connecticut,87291
6,New Hampshire,86900
7,Utah,84523
8,Washington,82454
9,Minnesota,81426
10,Virginia,81313
11,Alaska,78394
12,California,78105
13,Oregon,74413
14,Illinois,74399
15,Vermont,74305
16,Delaware,74194
17,Kansas,73151
18,Nebraska,73071
19,Colorado,72499
20,New York,71855
21,Nevada,70906
22,Arizona,70674
23,Pennsylvania,70582
24,Rhode Island,70151
25,North Dakota,70031
26,United States,68703
27,Texas,67444
28,Wisconsin,67355
29,Indiana,66693
30,Maine,66546
31,Iowa,66054
32,Idaho,65988
33,Wyoming,65134
34,Ohio,64663
35,South Dakota,64255
36,Michigan,64119
37,South Carolina,62028
38,North Carolina,61159
39,Missouri,60597
40,Montana,60195
41,Oklahoma,59397
42,Florida,58368
43,Georgia,56628
44,Tennessee,56627
45,Alabama,56200
46,Kentucky,55662
47,Arkansas,54539
48,West Virginia,53706
49,New Mexico,53113
50,Louisiana,51707
51,Mississippi,44787
