,Quarter,Number of licensed vehicles
0,Q3 2018,1395
1,Q2 2018,1275
2,Q1 2018,1167
3,Q4 2017,1098
4,Q3 2017,1248
5,Q2 2017,1176
6,Q1 2017,1093
7,Q4 2016,1085
8,Q3 2016,1001
9,Q2 2016,1052
10,Q1 2016,1044
11,Q4 2015,960
12,Q3 2015,961
13,Q2 2015,905
14,Q1 2015,911
15,Q4 2014,945
16,Q3 2014,1012
17,Q2 2014,973
18,Q1 2014,1020
19,Q4 2013,1063
20,Q3 2013,1136
21,Q2 2013,1191
22,Q1 2013,1256
23,Q4 2012,1331
24,Q3 2012,1340
25,Q2 2012,1407
26,Q1 2012,1466
27,Q4 2011,1502
28,Q3 2011,1544
29,Q2 2011,1580
30,Q1 2011,1504
31,Q4 2010,1413
32,Q3 2010,1413
33,Q2 2010,1375
34,Q1 2010,1302
