,Year,Number of nominations
0,Marriage Story,6
1,The Irishman,5
2,Once Upon a Time...in Hollywood,5
3,Joker,4
4,The Two Popes,4
5,1917,3
6,Knives Out,3
7,Parasite,3
8,Rocketman,3
9,Bombshell,2
10,Dolemite Is My Name,2
11,The Farewell,2
12,Frozen 2,2
13,Harriet,2
14,Jojo Rabbit,2
15,The Lion King,2
16,Little Women,2
17,Pain and Glory,2
18,A Beautiful Day in the Neighborhood,1
19,Booksmart,1
20,Cats,1
21,Ford v Ferrari,1
22,How to Train Your Dragon: The Hidden World,1
23,Hustlers,1
24,Judy,1
25,Late Night,1
26,Les Misérables,1
27,Missing Link,1
28,Motherless Brooklyn,1
29,Portrait of a Lady on Fire,1
30,The Report,1
31,Richard Jewell,1
32,Toy Story 4,1
33,"Where'd You Go, Bernadette",1
