,player,Payroll in thousand U.S. dollars
0,Nani,2486.25
1,Dom Dwyer,1503.33
2,Sacha Kljestan,1100.0
3,Mauricio  Pereyra,1078.0
4,Lamine  Sane,950.0
5,Cristian  Higuita,611.66
6,Oriol  Rosell,522.5
7,Will  Johnson,491.0
8,Jhegson Sebastián  Méndez,486.75
9,Carlos  Ascues,451.5
10,Josue  Colman,450.0
11,Robin  Jansson,289.8
12,Robinho,205.5
13,Joao  Moutinho,203.0
14,Dillon  Powers,200.0
15,Ruan  Teixeira,160.0
16,Tesho  Akindele,150.0
17,Alex  De John,146.61
18,Shane  O'Neill,139.5
19,Benji  Michel,116.25
20,Danilo  Acosta,110.0
21,Chris  Mueller,109.38
22,Cam  Lindley,98.91
23,Brian  Rowe,98.0
24,Santiago  Patino,76.78
25,Adam  Grinwis,70.88
26,Mason  Stajduhar,70.88
27,Gregory  Ranjitsingh,70.25
28,Kyle  Smith,70.25
29,Kamal  Miller,56.25
