,Month,Price in GBP per kilogram
0,Nov '19,0.85
1,Oct '19,0.82
2,Sep '19,0.93
3,Apr '19,0.71
4,Mar '19,0.76
5,Feb '19,0.76
6,Jan '19,0.72
7,Dec '18,0.74
8,Nov '18,0.78
9,Oct '18,1.0
10,Sep '18,0.87
11,Apr '18,0.74
12,Mar '18,0.67
13,Feb '18,0.7
14,Jan '18,0.67
15,Dec '17,0.69
16,Nov '17,0.68
17,Oct '17,0.74
18,Sep '17,0.98
19,Aug '17,1.21
20,Apr '17,0.8
21,Mar '17,0.79
22,Feb '17,0.81
23,Jan '17,0.86
24,Dec '16,1.06
25,Nov '16,0.76
26,Oct '16,0.77
27,Sep '16,1.01
28,Aug '16,0.63
29,Mar '16,0.61
30,Feb '16,0.58
31,Jan '16,0.61
32,Dec '15,0.6
33,Nov '15,0.63
34,Oct '15,0.69
35,Sep '15,0.81
36,Aug '15,1.06
37,Apr '15,0.57
38,Mar '15,0.58
39,Feb '15,0.55
40,Jan '15,0.55
