,Country,Public,Private
0,United States,4860,5032
1,Switzerland,5038,2881
2,Luxembourg,6194,1269
3,Norway,5664,983
4,Germany,4695,856
5,Ireland,3879,1650
6,Sweden,4603,884
7,Netherlands,4354,1032
8,Austria,3957,1270
9,Denmark,4374,831
10,Belgium,3740,1100
11,Canada,3341,1412
12,Australia*,3190,1518
13,France,3626,974
14,Japan,3801,718
15,Iceland*,3593,784
16,United Kingdom,3320,872
17,Finland,3017,1017
18,OECD-35,2937,1066
19,New Zealand,2879,711
20,Italy,2545,847
21,Spain,2293,955
22,Slovenia,2036,799
23,Israel**,1702,1120
24,Portugal,1811,923
25,Korea,1538,1191
26,Czech Republic,2097,447
27,Greece,1296,927
28,Slovak Republic,1715,435
29,Hungary,1434,667
30,Estonia,1513,476
31,Chile,1200,777
32,Lithuania,1319,652
33,Poland,1240,558
34,Latvia,828,639
35,Costa Rica**,1010,380
36,Russian Federation,825,526
37,South Africa,554,595
38,Turkey,863,224
39,Mexico,558,522
40,Brazil**,549,445
41,Colombia**,724,240
42,China**,409,324
43,Indonesia**,114,188
44,India**,81,188
