,Response,Share of respondents
0,Dissatisfaction with government/Poor leadership,28%
1,Immigration,6%
2,Healthcare,6%
3,Ethics/moral/religious/family decline,5%
4,Unifying the country,5%
5,Poverty/Hunger/Homelessness,5%
6,Lack of respect for each other,4%
7,Environment/Pollution/Climate change,4%
8,Race relations/Racism,3%
9,Situation in Iraq/ISIS,2%
10,Foreign policy/Foreign aid/Focus overseas,2%
11,Economy in general,2%
12,Guns/Gun control,2%
13,Gap between rich and poor,2%
14,Education,2%
15,Wars/War (nonspecific)/Fear of war,2%
