,state of Mexico,Number of patients
0,Mexico City,150737
1,State of Mexico,57564
2,Puebla,1349
3,Hidalgo,1180
4,Morelos,832
5,Jalisco,616
6,Querétaro,593
7,Veracruz,511
8,Michoacán,497
9,Guanajuato,441
10,Oaxaca,374
11,Tlaxcala,348
12,Guerrero,287
13,San Luis Potosí,186
14,Aguascalientes,139
15,Nuevo León,130
16,Quintana Roo,130
17,Zacatecas,95
18,Chiapas,72
19,Baja California,66
20,Chihuahua,63
21,Tamaulipas,57
22,Nayarit,55
23,Tabasco,54
24,Coahuila,47
25,Durango,43
26,Sonora,43
27,Yucatán,42
28,Baja California Sur,36
29,Sinaloa,35
30,Colima,33
31,Campeche,16
32,From abroad,60
33,Not informed,24
