,NHL Team,Number of followers in millions
0,Chicago Blackhawks,6.67
1,Pittsburgh Penguins,5.35
2,Boston Bruins,4.98
3,Toronto Maple Leafs,4.3
4,Detroit Red Wings,4.0
5,New York Rangers,3.95
6,Montreal Canadiens,3.77
7,Philadelphia Flyers,3.32
8,Los Angeles Kings,2.78
9,Vancouver Canucks,2.53
10,Washington Capitals,2.33
11,San Jose Sharks,2.28
12,St Louis Blues,2.08
13,Edmonton Oilers,1.99
14,Dallas Stars,1.97
15,Tampa Bay Lightning,1.78
16,Minnesota Wild,1.75
17,Buffalo Sabres,1.73
18,Colorado Avalanche,1.69
19,New Jersey Devils,1.53
20,Vegas Golden Knights,1.47
21,Nashville Predators,1.4
22,Calgary Flames,1.39
23,Anaheim Ducks,1.38
24,Winnipeg Jets,1.35
25,Ottawa Senators,1.2
26,New York Islanders,1.16
27,Columbus Blue Jackets,1.14
28,Carolina Hurricanes,1.02
29,Arizona Coyotes,0.92
30,Florida Panthers,0.81
