,Response,Percentage of binge drinkers
0,District of Columbia,26.3%
1,Wisconsin,25%
2,Iowa,23.7%
3,South Dakota,23.2%
4,North Dakota,22.8%
5,Massachusetts,22.4%
6,Nebraska,22.3%
7,Minnesota,21.8%
8,Hawaii,21.3%
9,Colorado,20.8%
10,Illinois,20.4%
11,Montana,20.1%
12,Michigan,19.5%
13,Maine,19.4%
14,Missouri,19.2%
15,Wyoming,19%
16,Connecticut,19%
17,Louisiana,18.8%
18,Texas,18.7%
19,Pennsylvania,18.6%
20,Rhode Island,18.6%
21,Vermont,18.5%
22,New York,18.4%
23,Oregon,18.4%
24,New Hampshire,18.3%
25,United States,18.2%
26,Florida,18.2%
27,Delaware,18.1%
28,Alaska,17.7%
29,California,17.6%
30,Indiana,17.5%
31,Arizona,17.2%
32,Kansas,17.1%
33,Nevada,17%
34,Ohio,17%
35,Virginia,16.9%
36,South Carolina,16.7%
37,Washington,16.5%
38,Idaho,16.5%
39,North Carolina,16.4%
40,Georgia,16.1%
41,Kentucky,15.9%
42,Arkansas,15.8%
43,New Mexico,15.7%
44,Tennessee,15.7%
45,New Jersey,15.2%
46,Maryland,14.6%
47,Oklahoma,14%
48,Alabama,13.8%
49,Mississippi,13.8%
50,West Virginia,12.6%
51,Utah,11.3%
