,Quarter,Viewers in thousands
0,Q3 2019,27471
1,Q2 2019,27986
2,Q1 2019,28663
3,Q4 2018,30390
4,Q3 2018,28962
5,Q2 2018,29503
6,Q1 2018,32474
7,Q4 2017,33118
8,Q3 2017,31487
9,Q2 2017,31669
10,Q1 2017,31035
11,Q4 2016,31715
12,Q3 2016,31872
13,Q2 2016,32315
14,Q1 2016,33593
15,Q4 2015,31778
16,Q3 2015,32502
17,Q2 2015,32618
18,Q1 2015,34983
19,Q4 2014,36201
20,Q3 2014,34945
21,Q2 2014,35324
22,Q1 2014,36608
23,Q4 2013,37228
24,Q4 2012,35107
25,Q3 2013,35466
26,Q3 2012,37107
27,Q2 2013,37907
28,Q2 2012,34840
29,Q1 2013,35514
30,Q1 2012,35479
