,Month,Index number of sales per week
0,Jun 20,68.8
1,May 20,40.4
2,Apr 20,31.0
3,Mar 20,60.9
4,Feb 20,109.2
5,Jan 20,111.7
6,Dec 19,104.9
7,Nov 19,109.0
8,Oct 19,106.6
9,Sep 19,107.7
10,Aug 19,108.8
11,Jul 19,107.1
12,Jun 19,103.7
13,May 19,102.5
14,Apr 19,103.4
15,Mar 19,99.0
16,Feb 19,105.3
17,Jan 19,102.8
18,Dec 18,97.8
19,Nov 18,97.3
20,Oct 18,94.9
21,Sep 18,95.9
22,Aug 18,97.8
23,Jul 18,103.2
24,Jun 18,98.1
25,May 18,100.6
26,Apr 18,95.4
27,Mar 18,99.4
28,Feb 18,101.8
29,Jan 18,99.8
30,Dec 17,104.4
31,Nov 17,103.5
32,Oct 17,103.2
33,Sep 17,111.5
34,Aug 17,102.2
35,Jul 17,105.2
36,Jun 17,107.7
37,May 17,104.0
38,Apr 17,105.2
39,Mar 17,105.1
40,Feb 17,99.0
41,Jan 17,97.6
42,Dec 16,101.0
43,Nov 16,102.6
44,Oct 16,101.8
45,Sept 16,98.7
46,Aug 16,100.3
47,Jul 16,107.2
48,Jun 16,95.0
49,May 16,101.4
50,Apr 16,100.8
51,Mar 16,99.5
52,Feb 16,92.7
53,Jan 16,97.2
