,Largest employers,Number of employees
0,Government,29320
1,Group Post Luxembourg,4650
2,Groupe CFL,4510
3,Groupe Cactus,4420
4,Groupe Dussmann Luxembourg,4280
5,Municipal administration of the City of Luxembourg,4181
6,Groupe ArcelorMittal,3900
7,BGL BNP Paribas,3830
8,Goodyear Dunlop Tires Operations SA,3450
9,Luxair SA,2950
10,Groupe PricewaterhouseCoopers,2930
11,Amazon.com,2760
12,Centre Hospitalier de Luxembourg,2490
13,Sodexo Luxembourg SA,2350
14,Fondation Hôpitaux Robert Schuman,2310
15,Groupe Deloitte à Luxembourg,2230
