,Year,GDP per capita in U.S. dollars
0,2025*,8648.41
1,2024*,8418.0
2,2023*,8215.53
3,2022*,7986.32
4,2021*,7667.57
5,2020*,7256.95
6,2019,7009.76
7,2018,5288.86
8,2017,5289.8
9,2016,5026.65
10,2015,4723.48
11,2014,5395.79
12,2013,5152.04
13,2012,5118.47
14,2011,7680.86
15,2010,6504.87
16,2009,5608.98
17,2008,5621.05
18,2007,4929.06
19,2006,3834.73
20,2005,3288.37
21,2004,2734.03
22,2003,2272.5
23,2002,1957.43
24,2001,5119.72
25,2000,5698.41
26,1999,4387.75
27,1998,3364.22
28,1997,3041.22
29,1996,2620.05
30,1995,1954.87
31,1994,1412.71
32,1993,1131.19
33,1992,872.34
34,1991,5417.51
35,1990,10556.09
36,1989,7128.94
37,1988,6137.68
38,1987,5465.15
39,1986,4222.51
40,1985,3776.61
