,Month,Percentage change*
0,Jun 20,78.3%
1,May 20,58.5%
2,Apr 20,34.8%
3,Mar 20,17.8%
4,Feb 20,4.5%
5,Jan 20,-0.7%
6,Dec 19,8.1%
7,Nov 19,-5.6%
8,Oct 19,4.2%
9,Sep 19,2.7%
10,Aug 19,6.2%
11,Jul 19,11.1%
12,Jun 19,13.2%
13,May 19,8.4%
14,Apr 19,16.9%
15,Mar 19,9.8%
16,Feb 19,16.4%
17,Jan 19,12.3%
18,Dec 18,12.6%
19,Nov 18,14.8%
20,Oct 18,19.2%
21,Sep 18,18.6%
22,Aug 18,17.5%
23,Jul 18,18%
24,Jun 18,22%
25,May 18,26.7%
26,Apr 18,18.7%
27,Mar 18,21.2%
28,Feb 18,16.3%
29,Jan 18,18.2%
30,Dec 17,16.6%
31,Nov 17,13.7%
32,Oct 17,10.4%
33,Sep 17,15%
34,Aug 17,17.4%
35,Jul 17,18.3%
36,Jun 17,13.5%
37,May 17,13.7%
38,Apr 17,14.3%
39,Mar 17,21.1%
40,Feb 17,18.7%
41,Jan 17,17.8%
42,Dec 16,17.4%
43,Nov 16,19.3%
