,Film title (original writer company),Revenue in million U.S. dollars
0,Resident Evil: The Final Chapter (Capcom),312.42
1,Resident Evil: Afterlife (Capcom),300.23
2,Resident Evil: Retribution (Capcom),240.0
3,Resident Evil: Extinction (Capcom),148.41
4,Resident Evil: Apocalypse (Capcom),129.34
5,Resident Evil (Capcom),102.98
6,Street Fighter (Capcom),99.42
7,Silent Hill (Konami),97.61
8,Final Fantasy: The Spirits Within (Square),85.13
9,Super Mario Bros. (Nintendo),20.92
10,House Of The Dead (Sega),13.82
