,Response,Share of responding businesses
0,Attracting customers,79%
1,Increasing revenue,59%
2,Maintaining profitability,51%
3,Uncertainty over economic conditions,27%
4,Developing new products/innovation,19%
5,"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",16%
6,Tax laws and rules,16%
7,Retaining/recruiting skilled employees,15%
8,Securing financing for expansion,15%
9,Finding/working with suppliers,13%
10,Securing financing for business as usual,13%
11,Selling to foreign markets **,8%
12,Other,6%
