,Response,Percentage of respondents
0,Cold/virus or other respiratory illness,36.6%
1,Flu (influenza) or flu-like illness,10.6%
2,"Stomach or GI virus or bug, food poisoning, or gastritis",9.7%
3,"Orthopedic injury (broken bone, fracture, sprain, bursitis, tendinitis, or ligament injury)",9.7%
4,Urinary tract infection,9.3%
5,Bronchitis,4.7%
6,"Other short-term, temporary illness not listed above",3.8%
7,Concussion,2.8%
8,Mononucleosis (mono),1.7%
9,Pneumonia,1.5%
10,Chlamydia,1.4%
11,Gonorrhea,0.4%
12,Shingles,0.4%
13,Chicken Pox (Varicella),0.4%
14,Pelvic Inflammatory Disease,0.3%
15,Mumps,0.2%
