,Response,Share of respondents
0,Not applicable - I don't think any of them are trustworthy,32%
1,"Casual dining restaurants other the fast food (e.g., Applebees, Olive Garden etc.)",25%
2,Clothing stores,20%
3,Fast food restaurants,16%
4,Consumer electronics,14%
5,Cars,10%
6,Household electronics and appliances,10%
7,Food products (other than health foods),9%
8,Pharmaceutical products,9%
9,Travel and leisure services,6%
10,Gadgets and tools,6%
11,Health foods,6%
12,Financial or insurance services/products,6%
13,Environmentally friendly products,5%
14,Cosmetic and beauty products,5%
15,Diet products,2%
