,State,Average taxes paid in U.S. dollars
0,New Jersey,11510
1,Connecticut,11325
2,New York,10532
3,Maryland,9701
4,Massachusetts,9581
5,Washington,9232
6,Hawaii,9214
7,District of Columbia,9009
8,Illinois,8902
9,Rhode Island,8738
10,California,8147
11,Pennsylvania,7861
12,Virginia,7711
13,Minnesota,7466
14,Wisconsin,7379
15,New Hampshire,7378
16,Vermont,7274
17,Kansas,7056
18,Nebraska,6983
19,Texas,6881
20,Iowa,6816
21,Maine,6571
22,Ohio,6494
23,Colorado,6289
24,Oregon,6258
25,Michigan,6172
26,North Dakota,6064
27,Indiana,6024
28,Utah,5898
29,Kentucky,5879
30,South Dakota,5872
31,Missouri,5791
32,Georgia,5665
33,Arizona,5577
34,North Carolina,5530
35,Oklahoma,5489
36,Mississippi,5237
37,New Mexico,5067
38,Louisiana,5063
39,Arkansas,5045
40,Wyoming,5029
41,Nevada,4973
42,Idaho,4626
43,South Carolina,4605
44,Florida,4598
45,Alaska,4474
46,Tennessee,4357
47,Alabama,4343
48,West Virginia,4266
49,Delaware,4202
50,Montana,4115
