,Month,Number of deaths
0,Dec 20,18626
1,Dec 19,18544
2,Dec 18,18455
3,Dec 17,18371
4,Dec 16,18278
5,Dec 15,18178
6,Dec 14,18054
7,Dec 13,17951
8,Dec 12,17902
9,Dec 11,17792
10,Dec 10,17692
11,Dec 9,17603
12,Dec 8,17507
13,Dec 7,17386
14,Dec 6,17320
15,Dec 5,17254
16,Dec 4,17142
17,Dec 3,17033
18,Dec 2,16991
19,Dec 1,16786
20,Nov 30,16645
21,Nov 29,16547
22,Nov 28,16461
23,Nov 27,16339
24,Nov 26,16219
25,Nov 25,16209
26,Nov 24,16104
27,Nov 23,15997
28,Nov 22,15863
29,Nov 21,15727
30,Nov 20,15524
31,Nov 19,15566
32,Nov 18,15396
33,Nov 17,15226
34,Nov 16,14933
35,Nov 15,14732
36,Nov 14,14548
37,Nov 13,14360
38,Nov 12,14192
39,Nov 11,13998
40,Nov 10,13806
41,Nov 9,13601
42,Nov 8,13410
43,Nov 7,13198
44,Nov 6,12991
45,Nov 5,12777
46,Nov 4,12575
47,Nov 3,12383
48,Nov 2,12215
49,Nov 1,11991
50,Oct 31,11835
51,Oct 30,11661
52,Oct 29,11475
53,Oct 28,11338
54,Oct 27,11199
55,Oct 26,11059
56,Oct 25,10939
57,Oct 24,10845
58,Oct 23,10738
59,Oct 22,10653
60,Oct 21,10600
61,Oct 20,10545
62,Oct 19,10498
63,Oct 18,10449
64,Oct 17,10418
65,Oct 16,10395
66,Oct 15,10360
67,Oct 14,10325
68,Oct 13,10284
69,Oct 12,10250
70,Oct 11,10214
71,Oct 10,10189
72,Oct 9,10167
73,Oct 8,10149
74,Oct 7,10129
75,Oct 6,10109
76,Oct 5,10091
77,Oct 4,10075
78,Oct 3,10061
79,Oct 2,10048
80,Oct 1,10033
81,Sep 30,10027
82,Sep 29,10018
83,Sep 28,10005
84,Sep 27,9993
85,Sep 26,9987
86,Sep 25,9982
87,Sep 24,9978
88,Sep 23,9970
89,Sep 22,9969
90,Sep 21,9966
91,Sep 20,9963
92,Sep 19,9955
93,Sep 18,9949
94,Sep 17,9937
95,Sep 16,9935
96,Sep 15,9932
97,Sep 14,9928
98,Sep 13,9927
99,Sep 12,9925
100,Sep 11,9924
101,Sep 10,9920
102,Sep 9,9917
103,Sep 8,9915
104,Sep 7,9912
105,Sep 6,9908
106,Sep 5,9906
107,Sep 4,9905
108,Sep 3,9903
109,Sep 2,9899
110,Sep 1,9897
111,Aug 31,9894
112,Aug 30,9891
113,Aug 29,9890
114,Aug 28,9884
115,Aug 27,9880
116,Aug 26,9879
117,Aug 25,9878
118,Aug 24,9874
119,Aug 23,9869
120,Aug 22,9866
121,Aug 21,9861
122,Aug 20,9858
123,Aug 19,9854
124,Aug 18,9845
125,Aug 17,9834
126,Aug 16,9827
127,Aug 15,9820
128,Aug 14,9811
129,Aug 13,9799
130,Aug 12,9787
131,Aug 11,9776
132,Aug 10,9763
133,Aug 9,9752
134,Aug 8,9747
135,Aug 7,9745
136,Aug 6,9739
137,Aug 5,9735
138,Aug 4,9730
139,Aug 3,9725
140,Aug 2,9722
141,Aug 1,9717
142,Jul 31,9715
143,Jul 30,9712
144,Jul 29,9710
145,Jul 28,9707
146,Jul 27,9706
147,Jul 26,9702
148,Jul 25,9700
149,Jul 24,9699
150,Jul 23,9694
151,Jul 22,9692
152,Jul 21,9690
153,Jul 20,9689
154,Jul 19,9687
155,Jul 18,9686
156,Jul 17,9684
157,Jul 16,9679
158,Jul 15,9674
159,Jul 14,9671
160,Jul 13,9671
161,Jul 12,9667
162,Jul 11,9665
163,Jul 10,9665
164,Jul 9,9664
165,Jul 8,9661
166,Jul 7,9660
167,Jul 6,9658
168,Jul 5,9655
169,Jul 4,9653
170,Jul 3,9648
171,Jul 2,9646
172,Jul 1,9638
173,Jun 30,9635
174,Jun 29,9630
175,Jun 28,9622
176,Jun 27,9620
177,Jun 26,9615
178,Jun 25,9612
179,Jun 24,9608
180,Jun 23,9596
181,Jun 22,9587
182,Jun 21,9584
183,Jun 20,9580
184,Jun 19,9575
185,Jun 18,9568
186,Jun 17,9561
187,Jun 16,9553
188,Jun 15,9550
189,Jun 14,9545
190,Jun 13,9535
191,Jun 12,9528
192,Jun 11,9516
193,Jun 10,9504
194,Jun 9,9495
195,Jun 8,9483
196,Jun 7,9472
197,Jun 6,9460
198,Jun 5,9446
199,Jun 4,9426
200,Jun 3,9403
201,Jun 2,9382
202,Jun 1,9360
203,May 31,9337
204,May 30,9321
205,May 29,9295
206,May 28,9269
207,May 27,9245
208,May 26,9221
209,May 25,9195
210,May 24,9190
211,May 23,9189
212,May 22,9188
213,May 21,9186
214,May 20,9150
215,May 19,9108
216,May 18,9080
217,May 17,9052
218,May 16,9005
219,May 15,8959
220,May 14,8903
221,May 13,8843
222,May 12,8761
223,May 11,8707
224,May 10,8656
225,May 9,8581
226,May 8,8521
227,May 7,8415
228,May 6,8339
229,May 5,8016
230,May 4,7924
231,May 3,7844
232,May 2,7765
233,May 1,7703
234,Apr 30,7594
235,Apr 29,7501
236,Apr 28,7331
237,Apr 27,7207
238,Apr 26,7094
239,Apr 25,6917
240,Apr 24,6679
241,Apr 23,6490
242,Apr 22,6262
243,Apr 21,5998
244,Apr 20,5828
245,Apr 19,5683
246,Apr 18,5453
247,Apr 17,5163
248,Apr 16,4857
249,Apr 15,4440
250,Apr 14,4157
251,Apr 13,3903
252,Apr 12,3600
253,Apr 11,3346
254,Apr 10,3019
255,Apr 9,2523
256,Apr 8,2240
257,Apr 7,2035
258,Apr 6,1632
259,Apr 5,1447
260,Apr 4,1283
261,Apr 3,1143
262,Apr 2,1011
263,Apr 1,828
264,Mar 31,705
265,Mar 30,513
266,Mar 29,431
267,Mar 28,353
268,Mar 27,289
269,Mar 26,220
270,Mar 25,178
271,Mar 24,122
272,Mar 23,88
273,Mar 22,75
274,Mar 21,67
275,Mar 20,37
276,Mar 19,21
277,Mar 18,14
278,Mar 17,10
279,Mar 16,5
280,Mar 15,4
281,Mar 14,4
282,Mar 13,3
283,Mar 12,3
284,Mar 11,3
