,business,Market capitalization in million euros
0,Industria de Diseño Textil SA (INDITEX),70187.0
1,Iberdrola SA,68140.8
2,Banco Santander SA,30055.52
3,Endesa SA,25452.4
4,Cellnex Telecom SA,20507.07
5,Amadeus IT Group SA,19083.14
6,Telefónica SA,18905.29
7,Banco Bilbao Vizcaya Argentaria SA,17583.21
8,Aena SME SA,16545.0
9,Naturgy Energy Group SA,15490.08
10,Ferrovial SA,15375.6
11,Siemens Gamesa Renewable Energy SA,13537.72
12,Caixabank SA,10886.21
13,Repsol SA,10701.57
14,Grifols SA,10525.4
