,Quarter,Number of office buildings
0,Q2 2020*,96192
1,Q1 2020*,96166
2,Q4 2019,96259
3,Q3 2019,96392
4,Q2 2019,96535
5,Q1 2019,96786
6,Q4 2018,96904
7,Q3 2018,96898
8,Q2 2018,97106
9,Q1 2018,97309
10,Q4 2017,97437
11,Q3 2017,97447
12,Q2 2017,97507
13,Q1 2017,97710
14,Q4 2016,97750
15,Q3 2016,97787
16,Q2 2016,97916
17,Q1 2016,97817
18,Q4 2015,97812
19,Q3 2015,97892
20,Q2 2015,97865
21,Q1 2015,97720
22,Q4 2014,97566
23,Q3 2014,97274
24,Q2 2014,97146
25,Q1 2014,96850
26,Q4 2013,96513
27,Q3 2013,95949
28,Q2 2013,95663
29,Q1 2013,95349
30,Q4 2012,94807
31,Q3 2012,94176
32,Q2 2012,93771
33,Q1 2012,93176
