,Company (Location),Revenue in billion U.S. dollars
0,Cargill (MN),113.5
1,Koch Industries (KS),110.0
2,Albertsons (ID),60.5
3,Deloitte (NY),46.2
4,PricewaterhouseCoopers (NY),42.4
5,Mars (VA),37.0
6,Ernst & Young (NY),36.4
7,Publix Super Markets (FL),36.1
8,Reyes Holdings (IL),30.0
9,Pilot Flying J (TN),29.0
10,HE Butt Grocery (TX),28.0
11,C&S Wholesale Grocers (NH),27.0
12,Enterprise Holdings (MO),25.9
13,Bechtel (CA),25.5
14,Cox Enterprises (GA),21.0
15,Fidelity Investments (MA),20.4
16,Love's Travel Stops & Country Stores (OK),20.0
17,Southern Glazer's (FL),19.0
18,Meijer (MI),17.8
19,JM Family Enterprises (FL),16.3
