,Quarter,Market share
0,Q4 '19,17.2%
1,Q3 '19,16.6%
2,Q2 '19,16.9%
3,Q1 '19,17.6%
4,Q4 '18,15.7%
5,Q3 '18,15.9%
6,Q2 '18,16.8%
7,Q1 '18,16%
8,Q4 '17,15%
9,Q3 '17,15.2%
10,Q2 '17,15.6%
11,Q1 '17,15%
12,Q4 '16,14.8%
13,Q3 '16,14.7%
14,Q2 '16,14.7%
15,Q1 '16,14.2%
16,Q4 '15,13.5%
17,Q3 '15,13.5%
18,Q2 '15,14%
19,Q1 '15,12.8%
20,Q4 '14,13.1%
21,Q3 '14,12.7%
22,Q2 '14,13.3%
23,Q1 '14,12.6%
24,Q4 '13,11.8%
25,Q3 '13,11.6%
26,Q2 '13,11.9%
27,Q1 '13,11.2%
28,Q4 '12,10.4%
29,Q3 '12,10.5%
30,Q2 '12,11.3%
31,Q1 '12,11%
32,Q4 '11,12.2%
33,Q3 '11,11.2%
34,Q2 '11,12.1%
35,Q1 '11,11.4%
