,city,Number of people
0,Chisinau,57780
1,Tiraspol,5362
2,Balti,4918
3,Ialoveni,3655
4,Slobozia,3350
5,Edinet,3316
6,Cahul,3060
7,Bender,2927
8,Anenii Noi,2824
9,Straseni,2789
10,Ribnita,2560
11,Orhei,2454
12,Comrat,2035
13,Criuleni,1929
14,Soroca,1925
15,Falesti,1882
16,Calarasi,1808
17,Drochia,1755
18,Singerei,1720
19,Briceni,1693
20,Ștefan Vodă,1689
21,Causeni,1667
22,Ungheni,1636
23,Glodeni,1571
24,Cimislia,1516
25,Floresti,1456
26,Hincesti,1363
27,Ceadir-Lunga,1344
28,Rezina,1307
29,Telenesti,1211
30,Nisporeni,1210
31,Taraclia,1182
32,Grigoriopol,1140
33,Riscani,1033
34,Donduseni,964
35,Dubasari (Transnistria),956
36,Soldanesti,940
37,Ocnita,874
38,Cantemir,786
39,Dubasari,730
40,Leova,729
41,Vulcanesti,710
42,Basarabeasca,698
43,Camenca,477
