,Primary cause of accident,Number of accidents
0,Operator inattention,546
1,Improper lookout,506
2,Operator inexperience,458
3,Excessive speed,358
4,Alcohol use,282
5,Machinery failure,274
6,Navigation rules violation,235
7,Weather,184
8,Hazardous waters,170
9,Force of wave/wake,140
10,Improper loading,63
11,Restricted vision,57
12,Equipment failure,53
13,Hull failure,52
14,Ignition of spilled fuel or vapor,47
15,"People on Gunwale, bow or transom",40
16,Overloading,37
17,Improper Anchoring,32
18,Failure to vent,30
19,Congested waters,27
20,Sharp turn,26
21,Missing or inadequate navigation aids,26
22,Sudden medical condition,25
23,Dam/lock,5
24,Inadequate on-board navigation lights,4
25,Drug use,4
26,Carbon monoxide exposure,3
27,Starting in gear,2
28,Other,281
29,Unknown,201
