,contractors in Obamacare's Healthcare.gov,Contracts in million U.S. dollars
0,CGI Federal,251.1
1,Quality Software Services (QSSI),164.9
2,HPEnterprise,77.6
3,Terremark Federal Group,48.9
4,Accenture Federal Services,45.0
5,IDL Solutions,31.8
6,Dede,25.6
7,Lockheed Martin Services,19.7
8,Mitre,17.4
9,Maricom Systems\,14.4
10,Quality Technology,13.2
11,Booz Allen Hamilton,12.5
12,Creative Computing,11.0
13,SAIC,10.9
14,HeiTech,8.9
15,Global Tech,8.0
16,Aquilent,7.7
17,Turning Point Global Solutions,5.8
18,SphereCom,4.4
19,FedResults,3.8
20,Government Acquisitions,3.4
21,Spann & Associates,3.0
22,Northrop Grumman IT,2.9
23,Innosoft,2.1
24,L&M Policy Research,1.5
25,Scope Infotech,1.1
26,Blue Canopy,0.69
27,Deloitte,0.67
28,Blast Design,0.59
29,Corporate Executive Board,0.37
30,Carahsoft Technology,0.28
31,ProTelecom,0.12
32,Onix Networking,0.04
