,financial year,GVA in billion GBP
0,Wholesale and retail trade; repair of motor vehicles and motorcycles,204.17
1,"Professional, scientific and technical activities",177.66
2,Manufacturing,169.55
3,Information and communication,134.43
4,Administrative and support service activities,129.63
5,Construction,105.0
6,Transport and Storage,85.53
7,Accommodation and food service activities,53.54
8,Real estate activities,46.77
9,Human health and social work activities,38.14
10,"Electricity, gas, steam and air conditioning supply",27.01
11,Education,25.5
12,"Arts, entertainment and recreation",25.28
13,"Water supply, sewerage, waste management, and remediation activities",21.11
14,Mining and quarrying,20.1
15,Other service activities,19.49
16,"Agriculture, forestry and fishing",2.56
