,Month,House price index (2015=100)
0,Sep '20,129.08
1,Aug '20,129.08
2,Jul '20,129.08
3,Jun '20,127.16
4,May '20,127.16
5,Apr '20,127.16
6,Mar '20,127.08
7,Feb '20,127.08
8,Jan '20,127.08
9,Dec '19,126.4
10,Nov '19,126.4
11,Oct '19,126.4
12,Sep '19,126.05
13,Aug '19,126.05
14,Jul '19,126.05
15,Jun '19,123.45
16,May '19,123.45
17,Apr '19,123.45
18,Mar '19,122.08
19,Feb '19,122.08
20,Jan '19,122.08
21,Dec '18,123.28
22,Nov '18,123.28
23,Oct '18,123.28
24,Sep '18,121.34
25,Aug '18,121.34
26,Jul '18,121.34
27,Jun '18,119.07
28,May '18,119.07
29,Apr '18,119.07
30,Mar '18,117.44
31,Feb '18,117.44
32,Jan '18,117.44
33,Dec '17,116.82
34,Nov '17,116.82
35,Oct '17,116.82
36,Sep '17,116.17
37,Aug '17,116.17
38,Jul '17,116.17
39,Jun '17,114.64
40,May '17,114.64
41,Apr '17,114.64
42,Mar '17,112.48
43,Feb '17,112.48
44,Jan '17,112.48
45,Dec '16,112.73
46,Nov '16,112.73
47,Oct '16,112.73
48,Sep '16,112.43
49,Aug '16,112.43
50,Jul '16,112.43
51,Jun '16,111.1
52,May '16,111.1
53,Apr '16,111.1
54,Mar '16,107.13
55,Feb '16,107.13
56,Jan '16,107.13
57,Dec '15,107.04
58,Nov '15,107.04
59,Oct '15,107.04
60,Sep '15,106.11
61,Aug '15,106.11
62,Jul '15,106.11
63,Jun '15,103.06
64,May '15,103.06
65,Apr '15,103.06
66,Mar '15,100.0
67,Feb '15,100.0
68,Jan '15,100.0
