,Month,Number of people
0,Feb 28,1
1,Mar 10,2
2,Mar 13,3
3,Mar 14,1
4,Mar 15,5
5,Mar 16,5
6,Mar 17,9
7,Mar 18,8
8,Mar 19,14
9,Mar 20,15
10,Mar 21,36
11,Mar 22,30
12,Mar 23,50
13,Mar 24,30
14,Mar 25,70
15,Mar 26,20
16,Mar 27,55
17,Mar 28,28
18,Mar 29,78
19,Mar 30,24
20,Mar 31,49
21,Apr 1,48
22,Apr 2,68
23,Apr 3,47
24,Apr 4,75
25,Apr 5,40
26,Apr 6,32
27,Apr 7,37
28,Apr 8,32
29,Apr 9,42
30,Apr 10,44
31,Apr 11,27
32,Apr 12,28
33,Apr 13,9
34,Apr 14,8
35,Apr 15,21
36,Apr 16,37
37,Apr 17,21
38,Apr 18,90
39,Apr 19,59
40,Apr 20,28
41,Apr 21,24
42,Apr 22,20
43,Apr 23,28
44,Apr 24,12
45,Apr 25,16
46,Apr 26,12
47,Apr 27,11
48,Apr 28,5
49,Apr 29,31
50,Apr 30,10
51,May 1,14
52,May 2,7
53,May 3,4
54,May 4,9
55,May 5,4
56,May 6,5
57,May 7,5
58,May 8,3
59,May 9,8
60,May 10,35
61,May 11,6
62,May 12,6
63,May 13,14
64,May 14,6
65,May 15,12
66,May 16,11
67,May 17,7
68,May 18,6
69,May 19,15
70,May 20,15
71,May 21,16
72,May 22,11
73,May 23,12
74,May 24,7
75,May 25,12
76,May 26,4
77,May 27,8
78,May 28,9
79,May 29,6
80,May 30,8
81,May 31,5
82,Jun 1,3
83,Jun 2,4
84,Jun 3,2
85,Jun 4,3
86,Jun 5,7
87,Jun 6,11
88,Jun 7,9
89,Jun 8,6
90,Jun 9,7
91,Jun 10,6
92,Jun 11,19
93,Jun 12,4
94,Jun 13,1
95,Jun 14,5
96,Jun 15,5
97,Jun 16,3
98,Jun 17,2
99,Jun 18,6
100,Jun 19,8
101,Jun 20,3
102,Jun 21,3
103,Jun 22,3
104,Jun 23,2
105,Jun 24,1
106,Jun 25,2
107,Jun 26,2
108,Jun 29,1
109,Jun 30,1
110,Jul 1,1
111,Jul 3,3
112,Jul 10,4
113,Jul 13,5
114,Jul 20,15
115,Jul 27,11
116,Aug 1,18
117,Aug 2,17
118,Aug 3,10
119,Aug 6,24
120,Aug 7,23
121,Aug 8,37
122,Aug 9,21
123,Aug 12,26
124,Aug 13,21
125,Aug 15,34
126,Aug 16,30
127,Aug 17,20
128,Aug 18,38
129,Aug 19,22
130,Aug 20,32
131,Aug 21,36
132,Aug 22,30
133,Aug 23,41
134,Aug 29,29
135,Aug 30,35
136,Sep 3,20
137,Sep 4,26
138,Sep 5,36
139,Sep 6,43
140,Sep 14,51
141,Sep 20,80
142,Sep 30,115
143,Oct 1,91
144,Oct 5,100
145,Oct 10,204
146,Oct 11,160
147,Oct 16,281
148,Oct 17,228
149,Oct 18,252
150,Oct 19,205
151,Oct 29,950
152,Oct 30,735
153,Oct 31,1001
154,Nov 01,895
155,Nov 02,837
156,Nov 03,897
157,Nov 04,639
158,Nov 05,999
159,Nov 06,1656
160,Nov 07,1972
161,Nov 08,1980
162,Nov 09,1033
163,Nov 10,1109
164,Nov 11,1418
165,Nov 12,1553
166,Nov 13,2044
167,Nov 14,1530
168,Nov 16,1151
169,Nov 18,1937
170,Nov 19,1673
