,industry classification,Employment in thousands
0,Wholesale and retail trade,2841.8
1,Health care and social assistance,2489.7
2,Manufacturing,1733.1
3,"Professional, scientific and technical services",1555.7
4,Construction,1463.1
5,Educational services,1370.4
6,Accommodation and food services,1215.7
7,"Finance, insurance, real estate, rental and leasing",1208.4
8,Transportation and warehousing,1037.9
9,Public administration,1012.8
10,Other services (except public administration),817.4
11,"Business, building and other support services",776.3
12,"Information, culture and recreation",774.0
13,"Forestry, fishing, mining, quarrying, oil and gas",332.5
14,Agriculture,287.6
15,Utilities,139.1
