,Pulitzer Prize Category,Number of winners
0,Investigative reporting (1985-present),16
1,Feature writing (1979-present),15
2,Commentary (1970-present),14
3,National reporting (1948-present),11
4,Criticism (1970-present),11
5,International reporting (1948-present),10
6,Editorial writing (1917-present),10
7,Feature photography (1968-present),8
8,Public service (1917-present),7
9,Explanatory reporting (1998-present),6
10,"Local reporting (1948-1952, 2007-present)",6
11,Breaking news photography (2000-present),4
12,Editorial cartooning (1922-present),2
