,ice hockey team,Price of soft drink in U.S. dollars
0,Tampa Bay Lightning (20),6
1,Boston Bruins (14),5.75
2,Chicago Blackhawks (24),5.75
3,Anaheim Ducks (21),5.5
4,New York Rangers (24),5.5
5,St. Louis Blues (20),5.5
6,Los Angeles Kings (21),5.25
7,Florida Panthers (20),5
8,Minnesota Wild (24),5
9,Washington Capitals (16),5
10,New York Islanders (16),5
11,Columbus Blue Jackets (22),4.75
12,Carolina Hurricanes (20),4.5
13,Colorado Avalanche (16),4.5
14,NHL average (19),4.46
15,New Jersey Devils (16),4.25
16,Winnipeg Jets (16),4.24
17,Philadelphia Flyers (16),4
18,Dallas Stars (16),4
19,Detroit Red Wings (16),4
20,San Jose Sharks (16),4
21,Montreal Canadians (24),3.88
22,Calgary Flames (20),3.61
23,Vancouver Canucks (16),3.57
24,Toronto Maple Leafs (14),3.57
25,Ottawa Senators (20),3.57
26,Edmonton Oilers (24),3.52
27,Nashville Predators (16),3.5
28,Buffalo Sabres (16),3
29,Pittsburgh Pinguins (12),3
30,Phoenix Coyotes (16)**,-
